id,regex
1,a*
2,ab|c
3,(a|b)*
4,abc
5,a*b*
6,(ab)*
7,a|b|c
8,abc*
9,(a|b)c
10,a(bc)*
11,ab|cd
12,a*|b*
13,(abc)*
14,a(b|c)
15,ab*c
16,(a|b|c)*
17,abc|d
18,a(b*c)
19,(ab|c)*
20,abcd
21,a*b|c*
22,(a*b)*
23,ab(cd)*
24,a|bc
25,(a|b)*(c|d)
26,abc*d
27,a(b|c)*
28,(ab)*(cd)
29,a*bc
30,ab|c|d
31,(a|bc)*
32,a(b*|c*)
33,abc|def
34,(a|b)*c*
35,ab*|cd*
36,a(bc|d)
37,(abc|d)*
38,a*b*c*
39,ab(c|d)
40,(a|b|c|d)*
41,abc*|d*
42,a(b|c)d
43,(ab)*c
44,a*|bc
45,ab(cd|e)
46,(a*|b)*
47,abc|d|e
48,a(b*c)*
49,(ab|cd)*
50,a*b(c|d)
51,ab|c*d
52,(a|b)c*
53,abc(de)*
54,a(b|c|d)
55,(ab*)*
56,a*bc*
57,ab|(cd)*
58,(a|b)(c|d)
59,abc*|de
60,a(bc)*d
61,(a*b|c)*
62,ab*c*
63,a|b(cd)*
64,(abc)*d
65,a(b|c*)d
66,ab|cd|ef
67,(a|b)*cd
68,a*b|c*d
69,abc(d|e)
70,(ab|c)d
71,a(b*|c)d
72,(a|bc)*(d)*
73,ab*cd
74,a|b|c|d
75,(a|b|c)*d
76,abc|de|f
77,a(b|c)*d*
78,(ab)*(c|d)
79,a*b*|c*
80,ab(c*|d)
81,(abc|de)*
82,a(bc|de)
83,ab*|c*d*
84,(a|b)*c|d
85,abc(d|e|f)
86,a(b|c)(d|e)
87,(ab*c)*
88,a*bc|d*
89,ab|(c|d)*
90,(a|b)cd*
91,abc*de
92,a(b*c|d)
93,(a|bc|d)*
94,ab*c|d*
95,a|b*(cd)
96,(abc)*(de)
97,a(b|c)d*e
98,ab(cd)*ef
99,(a*|b*|c*)
100,abc|d*e*
101,a(bc|d)*
102,(ab|c)*d*
103,a*b(c|d)*
104,ab|cd*|e
105,(a|b)(c|d)*
106,abc(de|f)
107,a(b*|c*)d
108,(ab)*(cd)*
109,a*bc*d
110,ab|c(de)*
111,(a|b|c)d*
112,abc*|d|e*
113,a(b|c*)(d)
114,(ab|cd|ef)*
115,a*b*c|d*
116,ab(c|d)e*
117,(a|bc)*d
118,abc|de*f
119,a(b*c)*d
120,(a|b)*cd*
121,a*b|c(d)*
122,ab*c|de
123,(abc|d)*e
124,a(b|c)*(d|e)
125,ab(cd|ef)*
126,(a*b*)*
127,abc*d|e*
128,a|b(c|d)*
129,(ab|c)d*e
130,abc(d*|e)
131,a(bc)*|d*
132,(a|b|c|d|e)*
133,ab*cd*e
134,a*b|c*|d
135,(abc)*(def)
136,abc(de)*f
137,a(b|c*d)
138,(ab*|cd)*
139,a*bc|de*
140,ab|(cd|e)*
141,(a|b)c*d*
142,abc*|def
143,a(b*c|d)*
144,(ab|c|d)*e
145,a*b(c*|d)
146,ab|cd(ef)*
147,(a|bc)d*
148,abc|d(e)*
149,a(b|c)d|e*
150,(ab)*(c|d)*
151,a*b*cd
152,ab(c|d)*e*
153,(abc|de|f)*
154,a(bc|d)e*
155,ab*|c(d)*
156,(a|b)*c|d*
157,abc(d|e)*f
158,a(b*|c)d*
159,(ab|cd)*(ef)
160,a*bc*|d*
161,ab|c*d|e*
162,(a|b|c)*de
163,abc*d(e)*
164,a(b|c*)(d|e)
165,(ab*c|d)*
166,a*b(cd)*
167,ab|(c|d|e)*
168,(a|b)cd|e*
169,abc*de*
170,a(bc|de)*
