index,regex,R,C-RASP,R_infinity
1,a(cb+c+b)*,True,True,True
2,ca(a)*(b)*b*ab,True,True,True
3,(b*ac+aa+b)*(ab)*,False,False,True
4,b(cc+a+a)(c+b)cacb+(ab+b+b)+c*(a)c*ba+a*b*bb+c+ca+c+b,True,True,True
5,b*+(cc+c)*+(b+c)(c)*aa+(b)*+a*bb+ac,True,True,True
6,(b*a+ab+b)*(cc+b+a)(a)*ac*cc+(bb)(b)*b*aac+(c+c)+(c)*c+bcc+ac,False,False,False
7,b*aaba*cb+(ca)+(b)*(b)*acc+(a)*+c*ab,True,True,True
8,(c*ac+ac)+(ca+b+b)+(c+a)(b)*+(b)b*ca+bb,True,True,True
9,(cbc+cc+b+b)*(ca+c)*(b+c)*(b)*+(ab+a)+b*(c)c*aa+c*+a+bb+c,False,False,False
10,(a*aa+c)c*+(cc+b)*(a+a)*(c)*aab+(b+c)*(a)*b*bb,False,False,False
11,b*a*+(bb+a)*(c+a)(a)*c*ca+c*b*bcb+(a)aab+c,False,False,False
12,c*(cb+a+b)*+(bc+c+c),False,False,False
13,a(bb)b*cb*bb,True,True,True
14,(b*+ac)(ca+c+a)*+(aa+b+c)*(a+c),False,False,False
15,(c*)*(b)*a*b,True,True,True
16,(a+bc+c+a)*a*(a+c)(b)*ca+(cb)*+c(a)bab+(a)*aa+b*cc+aa+b,False,False,False
17,(acc+ba+c+b)(ab+a)+b*b(a)a,True,True,True
18,(b*cc+bb+b+a)(ca+b),True,True,True
19,(baa+cc+c+c)*,False,True,True
20,cc*(c+c)(a)*bcc+aa(b)*b,True,True,True
21,(c*b)*(bc+b+b)*+b+b*(b)*b,True,False,True
22,(bba+cc)c*+(ca+b+c)*b+b*(b)*b*ab+ca*cb+bac,False,False,False
23,(b*b+bc)*(cc+a)a(a)cc+(bb+a+a)(c+c)(c)ac+(b+b)(c)c*ca+a*a,False,False,False
24,a(aa+b+a)cb*+(bb+c+b)*(b)ab*ca+(b)*(b)b*,False,False,False
25,(c*aa+ab+b)b*(b)*+(cb)*cc*bcc,False,True,True
26,b*+(ab+b+c)*(b)*(a)*c*c,False,False,False
27,(a*a+ca)*(a+b+c)+c*(c+a)(b)+(a)*+(b)*aac,False,False,False
28,b*b(b)*b*aac+b(c+c)*(b)c*ca,True,True,True
29,bcc*(c)*c*ac+(c+c)*(b+c),True,True,True
30,(a*+bc)c*b+b*a(a)*cba,True,True,True
31,(a*)a(c+a)*a*+(bc+a)(b+c)*(a)*a*a,True,True,True
32,aa*,True,True,True
33,(aba)+(cc+b+c)(c)*cbab+b(a)+(a)+b*ba,True,True,True
34,aa*(b+a)*(a)cca,False,False,False
35,(bca)(ac+a+b)*(c+c)*+b*b*(c)*cbc,False,False,False
36,(ccb+cb+c+c)*+(bb+b)*a(a)aa,False,False,False
37,(aa)*(ba)(c+c)(a)*bbc+(a),False,False,True
38,c(aa)c*(b)b+b(c+a),True,True,True
39,(c+ab+c+b)b*b*+(cc+c+c)*+(c+a)(a),True,True,True
40,(b*ba+aa)*(cc+c+a)(c)*ba*+(ac+b)*(c+a)*+(a+c)(a)*c*+(c)abb,False,False,False
41,(b*aa+ab+a+b)(aa+b+b)+(ab+a+a)+c*(c)a*+(a)c*cb+baa+b+c+c,True,True,True
42,(a*bc+cb+b+b)*(bc)(c)b*a*c+b*(a+b)*(c)*+b(c)*c*ab+a*+ccc,False,False,False
43,(cbc+ac+b+a)*+b(c)(a)*cb+(c+a)(a)*b*a+(c)*b*+aac,False,False,False
44,c*(ab)*c*(c)acb+a*a*(c)*cbc+(c)(b)ca,False,True,True
45,(b*aa+ca+c+b)bc+b(b+a)accc,True,True,True
46,(a*+ab+c+c)*(c+b)c*b*cbc+a*(b+a)(c)a*,False,False,False
47,(ba+ca)b+a*(b+c)(c)*+(a+a)*(a)cab+(a)*,True,True,True
48,(c+aa+a+a)*(bb+b)*aca*,False,False,False
49,(aa)*(ab+a+a)(c+a)*(a)*,False,False,True
50,(b*)*+(bb)*(b+a)*(a)*bab+c+(b)b*cb+b*ba+c+a+a,False,False,False
51,a*(bb+a)*(a+a)(b)*bbc+(ca)*(a+b)(c)b*bc+(b),False,False,False
52,(b*cb)b*ac*b*aa+(ca+c)(c+b)*c*+(b+b)*a+b+c*cb+ba+c+a,True,True,True
53,(cac)*b(b+c)*a*+bb+a(b)a*ba+(a)*c*bb,False,True,True
54,(b*ac+a)*(cb)b*bccb+(c)b(a)*+c+abc+ccb+ca,False,False,False
55,(b*+ab)*c+c(b+a)b*+(a+b)*(b)*,False,False,False
56,(aac)bcbb*aa+(bb)*b*(c)a*cc+(c+a)*cc+(a)*b*+bcc+cb,False,False,False
57,c(cb+a)*(a+a)*(a)*c+(ca+c+a)*c*(b)*a*b,False,True,True
58,(c*ac+ca+a+a)(bc)(c+c)(a)cab+bac*aac+(b)(b)*+(c)*bbc+aca,True,True,True
59,a*(ba+a+c)(a)(a)bab+(cb)*+(c+c)*+cbbc+b+bc+a+a,False,True,True
60,b+(cb)*(c)*(c)*cc,False,True,True
61,(b*bb+bc+c+a)*b(a+b)*(c)b*ac+(ca+c+c)+c*ba*bb,False,False,False
62,a*(ba+c+c)b*a*b*ac,True,True,True
63,(ccc+cc)(ca+b)(a)*(b)aac+(ab+c+a)*+a*(c)bbc+(c)*cca,False,False,False
64,c*ac*(c)*a*cc,True,True,True
65,(bcb+ba)*c*+(c)*(a+b)*+(c+c)*(b)*abb+(b)c*ca,False,True,True
66,(c*cb+cb+b+c)(ba)(b)*(c)*c*ac+(bc)b(c)bac+(b+b)a*bab+c*b*c+c+bb+c+c,True,True,True
67,(a+ba+b)*(ba+a+c)*(c+c)*(a)a*,False,False,False
68,(b*bc+cc+c)(bb),True,True,True
69,a*+(aa)*(c+c)(a)*ab+(b+a)*(a)*b*bc+(a)*ba+b*a+ba,False,False,False
70,(a+bb+b)(b+b)(b)+(c+c)*b(a)*ccb+(a+c)*(b)*c*+(c)*ab,True,True,True
71,(c*aa)c,True,True,True
72,(c+aa+a)*+(ba)c(a)*+(a+c)*a+(a)a*ab+bba+ab+c+a,True,True,True
73,(cac)*(ca+c+c)(c)(b)*ccc+(ac+c+a)*a*(c)*ba+(a+a)*(a)a,False,True,True
74,(ab+ab)*+(aa)*(c+b)*ccc+(c+a),False,False,False
75,(bba+bc)(bb)*(a+b)(a)c*a+b(a+a)*(b)*c*+(c+b)+(a)c*ca+b*cb,False,False,True
76,(cbb+cb+a+a)(ca+b+c)*(c+b)*(b)*b*+(cb)*(a+b)(b)+b(b)c*ba,False,False,False
77,(c*cb+bb+b+a)(ac+a+c)(a+b)bcab,True,True,True
78,(c+aa),True,True,True
79,c*aa*(c)a*+(cc)*c*(b)*bca,True,True,True
80,(bac+ba+c)(b+c+a)(b+b)cb*+(bc+a+a)(b)(b)bbc+a*(a)*c*+(c)*ccc+c*ab+bc+c+b,True,True,True
81,(a*b)*+c*,True,False,True
82,(ca)(aa+b+c)*(a)b*,False,False,True
83,a(bb+c+b)+(aa+c+b)*a*(a)acc+(a+c)acbb+(c)+a*+ac+a+b,False,False,False
84,(c*ba)*(cc+b+b),False,False,False
85,(bcc)+(a+a+a)(b+b)(a)+(a)*(b)*cba+(b)*aab,True,True,True
86,(bcb)*(b)(b)*(c)*a*,False,True,True
87,(cbc+bc)(ba+b+b)c(b)*a*+(cc+b+c)+(c+b)*(a)a+ba*ba+a*bb,True,True,True
88,(aac+bc+c)(ac+c+a)*(a+c)(b)*aaa+(a+c+c)*+(c)*+c*+aab+ca,False,False,False
89,a(a+b+a)*(a+b),True,True,True
90,(aca+cc+a)(bc+c+b)a*(c)*cca,True,True,True
91,(cba+ba+b+a)*+b*(c+a)*(a)cac+b*ccba+(a)*bc,False,False,False
92,(c*bc+c+b)cb*+(ba+a),True,True,True
93,(abb+ab+a)+(a)*+(c+c)(c)*,True,True,True
94,(a*ac)(c)(b+c)*(c)*c*cb,False,False,False
95,a*(ac)*,False,True,True
96,(cc+bb+a+a)(c+b+b)(c+c)c+(a)(a+b)*c*aac+b*+b*a*bc+bb+ca+a+a,False,False,False
97,(c*aa)(ba+c)b*+b(a)(a)*cab+a,True,True,True
98,(b*)(ab+a+c)(c+c)*(b)*a*c,True,True,True
99,bc+(c+a+a)(c+a)(b)aab+a*(c)*,True,True,True
100,(bcc+ba)(ab+c)(b+a)(c)+(aa+c+a)*b(a)b*+a(b)*b*cb,True,True,True
101,(b*cc)*(aa+b+a)*(a)*(b)b+(ba)*,False,False,False
102,(b*ba+cc+c)*(ba)(c)(c)*+a(a+b)*c*aab+(a+a)*(b)*c*+(c)*bca,False,False,False
103,(aac+bb+c+a)*,False,False,True
