index,regex,R,C-RASP,R_infinity
6,(b*a+ab+b)*(cc+b+a)(a)*ac*cc+(bb)(b)*b*aac+(c+c)+(c)*c+bcc+ac,False,False,False
9,(cbc+cc+b+b)*(ca+c)*(b+c)*(b)*+(ab+a)+b*(c)c*aa+c*+a+bb+c,False,False,False
10,(a*aa+c)c*+(cc+b)*(a+a)*(c)*aab+(b+c)*(a)*b*bb,False,False,False
11,b*a*+(bb+a)*(c+a)(a)*c*ca+c*b*bcb+(a)aab+c,False,False,False
12,c*(cb+a+b)*+(bc+c+c),False,False,False
14,(b*+ac)(ca+c+a)*+(aa+b+c)*(a+c),False,False,False
16,(a+bc+c+a)*a*(a+c)(b)*ca+(cb)*+c(a)bab+(a)*aa+b*cc+aa+b,False,False,False
22,(bba+cc)c*+(ca+b+c)*b+b*(b)*b*ab+ca*cb+bac,False,False,False
23,(b*b+bc)*(cc+a)a(a)cc+(bb+a+a)(c+c)(c)ac+(b+b)(c)c*ca+a*a,False,False,False
24,a(aa+b+a)cb*+(bb+c+b)*(b)ab*ca+(b)*(b)b*,False,False,False
26,b*+(ab+b+c)*(b)*(a)*c*c,False,False,False
27,(a*a+ca)*(a+b+c)+c*(c+a)(b)+(a)*+(b)*aac,False,False,False
34,aa*(b+a)*(a)cca,False,False,False
35,(bca)(ac+a+b)*(c+c)*+b*b*(c)*cbc,False,False,False
36,(ccb+cb+c+c)*+(bb+b)*a(a)aa,False,False,False
40,(b*ba+aa)*(cc+c+a)(c)*ba*+(ac+b)*(c+a)*+(a+c)(a)*c*+(c)abb,False,False,False
42,(a*bc+cb+b+b)*(bc)(c)b*a*c+b*(a+b)*(c)*+b(c)*c*ab+a*+ccc,False,False,False
43,(cbc+ac+b+a)*+b(c)(a)*cb+(c+a)(a)*b*a+(c)*b*+aac,False,False,False
46,(a*+ab+c+c)*(c+b)c*b*cbc+a*(b+a)(c)a*,False,False,False
48,(c+aa+a+a)*(bb+b)*aca*,False,False,False
50,(b*)*+(bb)*(b+a)*(a)*bab+c+(b)b*cb+b*ba+c+a+a,False,False,False
51,a*(bb+a)*(a+a)(b)*bbc+(ca)*(a+b)(c)b*bc+(b),False,False,False
54,(b*ac+a)*(cb)b*bccb+(c)b(a)*+c+abc+ccb+ca,False,False,False
55,(b*+ab)*c+c(b+a)b*+(a+b)*(b)*,False,False,False
56,(aac)bcbb*aa+(bb)*b*(c)a*cc+(c+a)*cc+(a)*b*+bcc+cb,False,False,False
61,(b*bb+bc+c+a)*b(a+b)*(c)b*ac+(ca+c+c)+c*ba*bb,False,False,False
63,(ccc+cc)(ca+b)(a)*(b)aac+(ab+c+a)*+a*(c)bbc+(c)*cca,False,False,False
67,(a+ba+b)*(ba+a+c)*(c+c)*(a)a*,False,False,False
69,a*+(aa)*(c+c)(a)*ab+(b+a)*(a)*b*bc+(a)*ba+b*a+ba,False,False,False
74,(ab+ab)*+(aa)*(c+b)*ccc+(c+a),False,False,False
76,(cbb+cb+a+a)(ca+b+c)*(c+b)*(b)*b*+(cb)*(a+b)(b)+b(b)c*ba,False,False,False
